"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle",""
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Sunday, August 18, 2024"
"Time","4:28 PM"
"Sample Rate","20"
"Duration","821"
"Segment","Session"
"Beacon Markers","88.837","160.94","233.542","304.878","375.73","446.924","517.738","589.152","660.717","732.679","821"
"Segment Times","1:28.837","1:12.103","1:12.602","1:11.336","1:10.852","1:11.194","1:10.814","1:11.414","1:11.565","1:11.962","1:28.321"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","ft","deg","deg","°C","V","rpm"

"0.000","4.0674","13","0.0000","0.0000","3.0510","104.9747","0.0000","5747.3507","0.0696","0.0900","32808.3990","39.56961029","-104.83080846","37.0","4.0","1899"
"0.050","3.5651","13","-0.0041","-0.4651","3.4777","104.9288","-1.5267","5747.2834","0.0687","0.0900","196.2254","39.56961016","-104.83080752","37.0","4.0","1908"
"0.100","3.0221","13","0.0159","-0.4743","4.3523","105.1086","7.1576","5746.6882","0.0679","0.0900","35.4809","39.56961045","-104.83080681","37.0","4.0","1971"
"0.150","2.6174","13","-0.0194","-0.3671","4.8349","104.9867","-9.2884","5746.1191","0.0671","0.0900","23.6803","39.56961061","-104.83080614","37.0","4.0","1921"
"0.200","2.1578","13","-0.0627","-0.4318","4.9787","103.5318","-31.1968","5745.9057","0.0663","0.0900","5.8124","39.56961065","-104.83080561","37.0","4.0","1886"
"0.250","1.6425","13","-0.0839","-0.4774","7.5655","100.9284","0.0000","5745.9589","0.0658","0.0900","32808.3990","39.56961065","-104.83080515","37.0","4.0","1938"
"0.300","0.9985","13","0.0669","-0.5620","12.7380","103.7584","0.0000","5745.8849","0.0650","0.0900","32808.3990","39.56961070","-104.83080480","37.0","4.0","1953"
"0.350","0.5519","13","0.0381","-0.1193","20.7496","109.4853","0.0000","5745.7058","0.0644","0.0900","32808.3990","39.56961081","-104.83080453","37.0","4.1","1874"
"0.400","0.2169","13","0.0000","0.0000","58.0088","124.4221","0.0000","5745.4904","0.0636","0.0800","32808.3990","39.56961101","-104.83080431","37.0","4.1","1959"
"0.450","0.2703","13","0.0000","0.0000","37.8174","-84.9463","0.0000","5745.3137","0.0632","0.0825","32808.3990","39.56961126","-104.83080419","37.0","4.1","1945"
"0.500","0.3135","13","0.0000","0.0000","28.7895","-93.6153","0.0000","5745.2088","0.0625","0.0900","32808.3990","39.56961130","-104.83080391","37.0","4.1","1976"
"0.550","0.1642","13","0.0000","0.0000","51.5629","-96.5359","0.0000","5745.0678","0.0618","0.0825","32808.3990","39.56961124","-104.83080355","37.0","4.1","2016"
"0.600","0.1304","13","0.0000","0.0000","75.1765","120.9172","0.0000","5744.8728","0.0614","0.0700","32808.3990","39.56961124","-104.83080312","37.0","4.1","2076"
"0.650","0.2145","13","0.0000","0.0000","33.9177","94.3504","0.0000","5744.6597","0.0609","0.1100","32808.3990","39.56961111","-104.83080294","37.0","4.1","2466"
"0.700","0.1816","12","0.0000","0.0000","50.4991","-104.4496","0.0000","5744.3426","0.0602","0.0890","32808.3990","39.56961115","-104.83080300","37.0","4.1","3033"
"0.750","0.2081","12","0.0000","0.0000","45.9390","-62.0579","0.0000","5744.1579","0.0598","0.0777","32808.3990","39.56961116","-104.83080305","37.0","4.1","3491"
"0.800","0.1343","13","0.0000","0.0000","73.9623","119.9173","0.0000","5743.9929","0.0594","0.0705","32808.3990","39.56961113","-104.83080301","37.0","4.1","3615"
"0.850","0.3442","13","0.0000","0.0000","23.4216","85.9831","0.0000","5743.9605","0.0586","0.0927","32808.3990","39.56961114","-104.83080276","37.0","4.0","3605"
"0.900","0.6078","13","0.0000","0.0000","12.8776","100.5416","0.0000","5743.8608","0.0582","0.1000","32808.3990","39.56961114","-104.83080256","37.0","4.0","3547"
"0.950","0.7487","13","0.0000","0.0000","10.4341","106.3718","0.0000","5743.7542","0.0578","0.1000","32808.3990","39.56961123","-104.83080230","37.0","4.0","3523"
"1.000","0.7854","13","-0.0082","0.1174","9.1587","104.0472","0.0000","5743.6938","0.0574","0.1000","32808.3990","39.56961146","-104.83080209","37.0","4.0","3502"
"1.050","0.7721","13","-0.0061","0.1542","9.4260","97.8858","0.0000","5743.6365","0.0570","0.1000","32808.3990","39.56961156","-104.83080189","37.0","4.0","3535"
"1.100","0.8152","13","-0.0053","0.1543","8.5633","100.2219","0.0000","5743.5412","0.0566","0.1000","32808.3990","39.56961163","-104.83080182","37.0","4.0","3542"
"1.150","1.1441","13","0.0162","0.1449","6.4926","108.7035","0.0000","5743.5139","0.0559","0.1000","32808.3990","39.56961164","-104.83080160","37.0","4.0","3587"
"1.200","1.3924","14","0.0056","0.1283","6.0254","112.1838","0.0000","5743.5384","0.0554","0.1000","32808.3990","39.56961170","-104.83080116","37.0","4.0","3594"
"1.250","1.5879","14","-0.0077","0.1428","4.3872","99.4275","0.0000","5743.3682","0.0551","0.1000","32808.3990","39.56961200","-104.83080048","37.0","4.0","3567"
"1.300","1.7010","14","-0.0024","0.1656","3.3991","95.3348","0.0000","5743.2869","0.0549","0.1000","32808.3990","39.56961221","-104.83079989","37.0","4.0","3536"
"1.350","1.8436","14","-0.0015","0.1799","2.9975","98.8768","0.0000","5743.2957","0.0545","0.1000","32808.3990","39.56961240","-104.83079924","37.0","4.0","3519"
"1.400","2.1609","14","0.0110","0.1751","2.0012","104.2565","0.0000","5743.2921","0.0541","0.1000","32808.3990","39.56961237","-104.83079824","37.0","4.0","3533"
"1.450","2.1813","14","0.0047","0.1607","1.5374","108.3226","1.2501","5743.3734","0.0537","0.1000","146.6313","39.56961196","-104.83079764","37.0","4.0","3516"
"1.500","2.3620","14","0.0084","0.1272","1.7059","105.3556","4.6378","5743.5043","0.0533","0.1000","42.7979","39.56961172","-104.83079698","37.0","4.0","3548"
"1.550","2.5640","14","0.0260","0.1053","1.9038","103.6940","13.5420","5743.5632","0.0531","0.1000","15.9110","39.56961155","-104.83079611","37.0","4.0","3535"
"1.600","2.6507","14","0.0509","0.1071","1.6437","100.9436","25.3951","5743.5107","0.0528","0.1000","8.7714","39.56961141","-104.83079534","37.0","4.0","3530"
