"Format","AiM CSV File"
"Session","G Junct CW"
"Vehicle",""
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Saturday, June 1, 2024"
"Time","12:45 PM"
"Sample Rate","20"
"Duration","920"
"Segment","Session"
"Beacon Markers","146.928","224.337","292.694","360.809","429.482","497.196","564.691","632.868","701.626","769.775","838.49","920"
"Segment Times","2:26.928","1:17.409","1:08.357","1:08.115","1:08.673","1:07.714","1:07.495","1:08.177","1:08.758","1:08.149","1:08.715","1:21.510"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","ft","deg","deg","°C","V","rpm"

"0.000","0.0316","6","0.0000","0.0000","-75.1022","-119.2641","0.0000","4704.7581","0.6562","0.1700","32808.3990","39.10873751","-108.49139748","37.8","4.1","2699"
"0.050","0.0316","6","0.0000","0.0000","-75.1022","-119.2641","0.0000","4704.7581","0.6562","0.1700","32808.3990","39.10873751","-108.49139748","37.8","4.1","2736"
"0.100","0.0316","6","0.0000","0.0000","-75.1022","-119.2641","0.0000","4704.7581","0.6562","0.1700","32808.3990","39.10873751","-108.49139748","37.8","4.1","2727"
"0.150","0.0316","6","0.0000","0.0000","-75.1022","-119.2641","0.0000","4704.7581","0.6562","0.1700","32808.3990","39.10873751","-108.49139748","37.8","4.1","2686"
"0.200","0.0316","6","0.0000","0.0000","-75.1022","-119.2641","0.0000","4704.7581","0.6562","0.1700","32808.3990","39.10873751","-108.49139748","37.8","4.1","2669"
"0.250","0.1097","6","0.0000","0.0000","-13.9231","-15.5433","0.0000","4704.6475","0.6562","0.1800","32808.3990","39.10873647","-108.49139607","37.8","4.1","2670"
"0.300","0.0873","6","0.0000","0.0000","-27.9284","-20.1609","0.0000","4704.3840","0.6562","0.1800","32808.3990","39.10873548","-108.49139536","37.8","4.1","2702"
"0.350","0.0518","6","0.0000","0.0000","-44.1398","-26.6379","0.0000","4704.2182","0.6562","0.1800","32808.3990","39.10873466","-108.49139506","37.8","4.1","2688"
"0.400","0.0911","6","0.0000","0.0000","-48.9238","-21.5564","0.0000","4704.7536","0.6562","0.3648","32808.3990","39.10873662","-108.49140215","37.8","4.1","2648"
"0.450","0.5635","6","0.0000","0.0000","-74.9402","2.0633","0.0000","4715.0115","0.6486","1.9062","32808.3990","39.10877036","-108.49149099","37.8","4.1","2647"
"0.500","0.5235","6","0.0000","0.0000","-9.5426","-122.7466","0.0000","4715.5802","0.5665","0.4512","32808.3990","39.10876833","-108.49149079","37.8","4.1","2665"
"0.550","0.5380","6","0.0000","0.0000","-8.4601","-150.0618","0.0000","4717.4673","0.4454","0.3038","32808.3990","39.10876650","-108.49148942","37.8","4.1","2698"
"0.600","0.4242","6","0.0000","0.0000","-48.2115","-68.5027","0.0000","4717.8706","0.3757","0.6062","32808.3990","39.10876549","-108.49148561","37.8","4.1","2683"
"0.650","0.2162","6","0.0000","0.0000","-38.6573","105.3594","0.0000","4718.5058","0.3297","0.5688","32808.3990","39.10876400","-108.49148211","37.8","4.1","2581"
"0.700","0.1641","6","0.0000","0.0000","-81.8352","9.7349","0.0000","4719.3596","0.2947","0.5938","32808.3990","39.10876348","-108.49148040","37.8","4.1","2613"
"0.750","0.3927","7","0.0000","0.0000","-70.0529","-145.9643","0.0000","4719.8739","0.2682","0.5350","32808.3990","39.10876412","-108.49147923","37.8","4.1","2472"
"0.800","0.3536","7","0.0000","0.0000","-58.4857","-142.3426","0.0000","4720.8082","0.2481","0.4512","32808.3990","39.10876502","-108.49147848","37.8","4.1","2310"
"0.850","0.1313","7","0.0000","0.0000","5.8757","43.2879","0.0000","4721.4879","0.2329","0.2763","32808.3990","39.10876568","-108.49147766","37.8","4.1","2270"
"0.900","0.0991","7","0.0000","0.0000","23.5957","161.6720","0.0000","4722.0073","0.2207","0.1937","32808.3990","39.10876650","-108.49147657","37.8","4.1","2139"
"0.950","0.1170","8","0.0000","0.0000","-11.4880","-150.7074","0.0000","4721.9921","0.2103","0.1800","32808.3990","39.10876714","-108.49147557","37.8","4.1","2036"
"1.000","0.1761","8","0.0000","0.0000","-10.0233","-158.7558","0.0000","4722.0425","0.2012","0.1800","32808.3990","39.10876793","-108.49147481","37.8","4.1","1963"
"1.050","0.2857","8","0.0000","0.0000","-28.9617","52.9450","0.0000","4722.0453","0.1930","0.2488","32808.3990","39.10876850","-108.49147412","37.8","4.1","1922"
"1.100","0.1970","8","0.0000","0.0000","-36.8615","-127.6335","0.0000","4721.8323","0.1857","0.2900","32808.3990","39.10876873","-108.49147374","37.8","4.1","1806"
"1.150","0.0361","8","0.0000","0.0000","-15.9484","-76.2085","0.0000","4721.8002","0.1792","0.2150","32808.3990","39.10876906","-108.49147322","37.8","4.1","1773"
"1.200","0.0503","8","0.0000","0.0000","26.6734","-6.6707","0.0000","4721.3557","0.1735","0.1838","32808.3990","39.10876943","-108.49147266","37.8","4.1","1695"
"1.250","0.0660","8","0.0000","0.0000","3.3532","113.0451","0.0000","4721.0465","0.1681","0.2150","32808.3990","39.10876969","-108.49147202","37.8","4.1","1620"
"1.300","0.0764","8","0.0000","0.0000","-37.3556","81.6517","0.0000","4720.8022","0.1632","0.2562","32808.3990","39.10876998","-108.49147130","37.8","4.1","1603"
"1.350","0.0544","8","0.0000","0.0000","-29.2612","-109.3758","0.0000","4720.3825","0.1598","0.2518","32808.3990","39.10877013","-108.49147102","37.8","4.1","1520"
"1.400","0.0224","8","0.0000","0.0000","-47.3821","-27.9333","0.0000","4719.8939","0.1558","0.2800","32808.3990","39.10877047","-108.49147057","37.8","4.1","1418"
"1.450","0.0921","8","0.0000","0.0000","-18.2231","83.8669","0.0000","4719.6360","0.1518","0.1800","32808.3990","39.10877079","-108.49147016","37.8","4.1","1437"
"1.500","0.1561","8","0.0000","0.0000","-36.3497","128.5920","0.0000","4719.4549","0.1481","0.2200","32808.3990","39.10877105","-108.49146979","37.8","4.1","1480"
"1.550","0.2406","8","0.0000","0.0000","-47.2274","-92.3005","0.0000","4719.2042","0.1444","0.2675","32808.3990","39.10877137","-108.49146950","37.8","4.1","1410"
