"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle","Kosmic"
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Friday, July 25, 2025"
"Time","10:50 AM"
"Sample Rate","20"
"Duration","406"
"Segment","Session"
"Beacon Markers","14.076","102.86","174.748","245.922","316.304","406"
"Segment Times","0:14.076","1:28.784","1:11.888","1:11.174","1:10.382","1:29.696"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Pitch Angle","Yaw Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","°C","V","rpm","deg","deg","deg"

"0.000","0.8106","13","0.0000","0.0000","-4.7732","-61.7246","0.0000","1741.6613","29.5000","0.1100","10000.0000","39.56951222","-104.83093018","0.56","-0.44","0.71","21.8","-2.6","5.0","38.6","4.1","3426","23.0","-35.1","-43.1"
"0.050","0.8106","13","0.0000","0.0000","-4.7732","-61.7246","0.0000","1741.6613","29.5000","0.1100","10000.0000","39.56951222","-104.83093018","0.54","-0.43","0.71","39.0","6.4","13.2","38.6","4.1","3426","23.9","-35.1","-43.5"
"0.100","0.8106","13","0.0000","0.0000","-4.7732","-61.7246","0.0000","1741.6613","29.5000","0.1100","10000.0000","39.56951222","-104.83093018","0.53","-0.38","0.74","27.6","-9.8","9.1","38.6","4.1","3426","25.7","-35.1","-44.2"
"0.150","0.8721","13","0.0000","0.0000","-6.4743","-55.3772","0.0000","1741.5800","29.2500","0.1100","10000.0000","39.56951218","-104.83092925","0.53","-0.33","0.76","5.0","-5.0","-1.0","38.6","4.1","3430","26.6","-35.1","-44.6"
"0.200","0.9451","13","0.0000","0.0000","-5.9638","-69.2324","0.0000","1741.4963","29.0000","0.1100","10000.0000","39.56951204","-104.83092855","0.53","-0.28","0.78","-45.8","9.1","-14.8","38.6","4.1","3435","26.9","-35.0","-44.8"
"0.250","0.7933","13","0.0000","0.0000","-5.7574","-62.8548","0.0000","1741.4199","28.7500","0.1100","10000.0000","39.56951211","-104.83092778","0.55","-0.26","0.78","-94.2","4.3","-31.7","38.6","4.1","3442","26.8","-35.0","-44.8"
"0.300","0.9291","13","0.0000","0.0000","-3.4679","-52.8395","0.0000","1741.3756","28.5000","0.1100","10000.0000","39.56951224","-104.83092725","0.57","-0.28","0.76","-133.8","7.2","-42.1","38.6","4.1","3455","27.2","-35.0","-45.1"
"0.350","0.9974","13","0.0000","0.0000","-3.3262","-15.6225","0.0000","1741.2092","28.2500","0.1400","10000.0000","39.56951231","-104.83092640","0.59","-0.33","0.71","-161.4","6.9","-44.7","38.6","4.1","3472","28.5","-35.2","-45.8"
"0.400","1.1332","13","0.0141","0.0452","-3.5960","-11.2855","0.0000","1741.0862","28.0000","0.1450","10000.0000","39.56951212","-104.83092556","0.60","-0.42","0.64","-156.6","6.8","-46.2","38.6","4.1","3475","31.2","-35.7","-47.0"
