"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle","Kosmic"
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Friday, July 25, 2025"
"Time","11:17 AM"
"Sample Rate","20"
"Duration","663"
"Segment","Session"
"Beacon Markers","96.462","165.803","234.178","302.979","371.131","438.614","506.436","575.25","663"
"Segment Times","1:36.462","1:09.341","1:08.375","1:08.801","1:08.152","1:07.483","1:07.822","1:08.814","1:27.750"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Pitch Angle","Yaw Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","°C","V","rpm","deg","deg","deg"

"0.000","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.54","-0.18","0.81","-50.1","14.8","-17.0","35.5","4.1","3385","17.9","-33.8","-50.7"
"0.050","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.55","-0.20","0.82","-52.3","17.4","-17.8","35.5","4.1","3385","19.3","-33.9","-51.8"
"0.100","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.56","-0.20","0.82","-58.6","7.1","-24.3","35.5","4.1","3410","20.9","-34.1","-53.0"
"0.150","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.54","-0.21","0.80","-65.1","9.3","-32.3","35.5","4.1","3412","22.6","-34.2","-54.3"
"0.200","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.55","-0.23","0.78","-63.9","9.6","-30.4","35.5","4.1","3405","24.4","-34.4","-55.7"
"0.250","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.58","-0.27","0.78","-62.0","-2.4","-26.7","35.5","4.1","3426","26.3","-34.6","-57.2"
"0.300","6.9601","7","0.0000","0.0000","-5.0943","-84.6131","0.0000","1703.4307","68.3000","0.2600","10000.0000","39.56951179","-104.83087476","0.58","-0.30","0.77","-53.7","2.5","-26.5","35.5","4.1","3424","28.3","-34.8","-58.8"
"0.350","7.1794","7","0.2436","0.1618","-5.2097","-81.7683","71.1208","1703.9281","67.5600","0.2693","1.6066","39.56950949","-104.83086974","0.58","-0.30","0.76","-52.9","8.8","-25.5","35.5","4.1","3415","30.3","-35.1","-60.5"
