"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle","Kosmic"
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Friday, July 25, 2025"
"Time","11:53 AM"
"Sample Rate","20"
"Duration","598"
"Segment","Session"
"Beacon Markers","98.564","168.236","236.564","305.968","374.718","442.696","509.789","598"
"Segment Times","1:38.564","1:09.672","1:08.328","1:09.404","1:08.750","1:07.978","1:07.093","1:28.211"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Pitch Angle","Yaw Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","°C","V","rpm","deg","deg","deg"

"0.000","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.56","-0.08","0.82","0.2","0.0","0.5","35.1","4.0","612","5.3","-34.7","-35.8"
"0.050","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.57","-0.08","0.82","0.2","0.0","0.5","35.1","4.0","612","5.3","-34.7","-35.8"
"0.100","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.57","-0.08","0.83","0.2","0.0","0.5","35.1","4.0","612","5.3","-34.7","-35.8"
"0.150","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.57","-0.08","0.82","0.2","0.0","0.5","35.1","4.0","612","5.3","-34.7","-35.8"
"0.200","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.56","-0.08","0.82","0.2","0.0","0.5","35.1","4.0","612","5.3","-34.7","-35.8"
"0.250","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.56","-0.08","0.82","0.2","0.8","0.2","35.1","4.0","612","5.3","-34.7","-35.8"
"0.300","0.0509","15","0.0000","0.0000","-36.1545","122.1589","0.0000","1742.8937","8.4000","0.0900","10000.0000","39.56954767","-104.83094581","0.57","-0.08","0.82","-0.1","0.6","0.3","35.1","4.0","612","5.3","-34.6","-35.8"
"0.350","0.1120","15","0.0000","0.0000","-25.3308","-31.5435","0.0000","1742.8955","8.4000","0.1080","10000.0000","39.56954758","-104.83094586","0.57","-0.08","0.82","-0.1","0.4","0.5","35.1","4.0","612","5.4","-34.6","-35.8"
"0.400","0.2013","15","0.0000","0.0000","-10.4718","-124.5734","0.0000","1742.9038","8.3150","0.1200","10000.0000","39.56954758","-104.83094599","0.57","-0.08","0.82","-0.3","0.0","0.7","35.1","4.0","609","5.4","-34.6","-35.8"
