"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle","Kosmic"
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Friday, July 25, 2025"
"Time","1:00 PM"
"Sample Rate","20"
"Duration","727"
"Segment","Session"
"Beacon Markers","90.034","160.147","228.101","296.898","365.102","434.243","501.228","570.079","637.98","727"
"Segment Times","1:30.034","1:10.113","1:07.954","1:08.797","1:08.204","1:09.141","1:06.985","1:08.851","1:07.901","1:29.020"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Pitch Angle","Yaw Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","°C","V","rpm","deg","deg","deg"

"0.000","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.55","-0.31","0.79","57.9","22.7","8.0","37.8","4.0","3669","24.7","-34.6","-133.5"
"0.050","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.57","-0.30","0.81","57.9","22.7","8.0","37.8","4.0","3669","24.7","-34.6","-133.5"
"0.100","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.55","-0.31","0.80","57.9","22.7","8.0","37.8","4.0","3669","24.7","-34.6","-133.5"
"0.150","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.53","-0.31","0.77","57.9","22.7","8.0","37.8","4.0","3669","24.7","-34.6","-133.5"
"0.200","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.50","-0.32","0.75","57.9","22.7","8.0","37.8","4.0","3669","24.7","-34.6","-133.5"
"0.250","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.54","-0.33","0.78","60.8","22.5","7.2","37.8","4.0","3669","24.7","-34.6","-133.5"
"0.300","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.61","-0.25","0.85","50.7","26.0","11.0","37.8","4.0","3669","23.9","-34.6","-133.6"
"0.350","8.8686","16","0.0000","0.0000","-0.4194","15.3160","0.0000","1745.2666","26.5000","0.1300","10000.0000","39.56963467","-104.83103436","0.53","-0.21","0.86","25.4","16.6","6.1","37.8","4.0","3669","21.8","-34.3","-133.6"
"0.400","8.9013","16","0.1453","-0.0306","-0.1542","16.0251","33.0823","1745.1378","26.0875","0.1300","4.2823","39.56963506","-104.83103401","0.45","-0.16","0.82","10.4","20.9","-3.1","37.8","4.0","3647","19.9","-34.1","-133.4"
