"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle","Kosmic"
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Friday, July 25, 2025"
"Time","1:52 PM"
"Sample Rate","20"
"Duration","601"
"Segment","Session"
"Beacon Markers","101.842","172.255","241.271","310.025","378.265","446.112","513.19","601"
"Segment Times","1:41.842","1:10.413","1:09.016","1:08.754","1:08.240","1:07.847","1:07.078","1:27.810"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Pitch Angle","Yaw Angle"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","°C","V","rpm","deg","deg","deg"

"0.000","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.56","-0.38","0.75","-18.3","26.5","-24.1","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.050","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.55","-0.39","0.74","-18.3","26.5","-24.1","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.100","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.57","-0.39","0.74","-18.3","26.5","-24.1","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.150","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.58","-0.40","0.75","-18.3","26.5","-24.1","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.200","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.57","-0.39","0.75","-18.3","26.5","-24.1","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.250","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.54","-0.38","0.74","-20.6","15.6","-23.9","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.300","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.55","-0.37","0.75","-19.2","0.1","-20.5","37.9","4.0","3656","37.0","-37.3","-111.7"
"0.350","8.2078","12","0.0000","0.0000","-2.9438","-39.4861","0.0000","1772.1763","36.5000","0.1200","10000.0000","39.56949016","-104.83094052","0.56","-0.37","0.75","-18.6","9.8","-21.4","37.9","4.0","3656","37.0","-37.3","-111.7"
